model,reasoning,cell,ratio,ci_lo,ci_hi
gpt-5-mini,high,BW-A,5.226811091623951,2.711247864374655,8.197149805918224
gpt-5-mini,high,WM-X,5.7891436591973875,2.965303072927376,9.71330795753851
gpt-5-mini,high,WW-X,5.93049189771982,2.7743796874002156,11.426594493095298
gpt-5-mini,high,BM-X,6.278963916858657,3.1121112920659124,10.6308359390639
gpt-5-mini,high,BW-X,4.72495715493837,2.2993438632557854,9.04927050763765
gpt-5-mini,high,WM-AX,5.924805076459197,4.097742509441525,9.297914423974458
gpt-5-mini,high,WW-AX,7.9659197757022175,4.078970043882408,10.852382409050334
gpt-5-mini,high,BM-AX,5.023417033907677,2.786459544959427,8.551727696316684
gpt-5-mini,high,BW-AX,6.486613577428725,3.38217182095473,9.729617279350084
gpt-5.4,none,WM,1.854843047407327,0.867909522494728,7.033652682822508
gpt-5.4,none,WW,4.046074880992965,1.8236809029234626,7.438429762769662
gpt-5.4,none,BM,2.5753520084944324,1.414390274822965,3.927242921560911
gpt-5.4,none,BW,3.605650540261078,1.5471042950263405,9.851165151875074
gpt-5.4,none,WM-A,2.159695302229441,1.0207644372963283,7.15107200454817
gpt-5.4,none,WW-A,2.541299188487579,1.5105673586647606,4.9238080253549565
gpt-5.4,none,BM-A,4.744120898427919,2.416748196672803,7.620137081753913
gpt-5.4,none,BW-A,3.545454545485727,3.3402520086532537,6.71042751823801
gpt-5.4,none,WM-X,4.543527514654111,2.953470601022656,7.929521087988703
gpt-5.4,none,WW-X,1.843225136451884,0.9363200128548638,4.0222063006307405
gpt-5.4,none,BM-X,2.5142853674326218,1.197447788525937,4.878249057432589
gpt-5.4,none,BW-X,2.743269022236436,1.4287462062309586,5.722283504000776
gpt-5.4,none,WM-AX,3.071537969857584,0.897217873789974,8.268405497198113
gpt-5.4,none,WW-AX,5.4587522780659805,3.9861231479585078,9.332152605076397
gpt-5.4,none,BM-AX,2.498173115218918,1.2997403537535337,6.702135950250009
gpt-5.4,none,BW-AX,1.8497776724944124,0.9465717887818884,4.112191284585941
gpt-5.4,medium,WM,2.1731230098361856,1.2733793132130296,3.9415040402022408
gpt-5.4,medium,WW,2.9569104050256056,1.7788776379968254,5.170263930912009
gpt-5.4,medium,BM,4.285383956338154,2.5050303663587576,9.931791080517346
gpt-5.4,medium,BW,2.6447859107686513,1.3698721961420222,5.843181689466117
gpt-5.4,medium,WM-A,4.511795243269019,3.000491982517388,9.24597757819578
gpt-5.4,medium,WW-A,3.314123244114048,1.7573487454224153,7.881127222256038
gpt-5.4,medium,BM-A,3.5201017473002727,2.1409747313031313,7.9226372252077075
gpt-5.4,medium,BW-A,4.230992458286508,2.436475312918799,8.787158106781911
gpt-5.4,medium,WM-X,3.48953260829169,2.127613209261627,6.9395025786694875
gpt-5.4,medium,WW-X,3.2496245612663133,1.7681446019422387,6.768767074457497
gpt-5.4,medium,BM-X,3.8229981419427137,2.028527704915649,11.550278302720114
gpt-5.4,medium,BW-X,4.414496861851493,2.5259612521867028,9.063342968777988
gpt-5.4,medium,WM-AX,3.394295910286306,1.9265716931896233,8.994165189833453
gpt-5.4,medium,WW-AX,3.7054594501101503,2.0280121035124172,8.835247631782238
gpt-5.4,medium,BM-AX,2.962171590900205,1.5558758888069875,8.296201036019053
gpt-5.4,medium,BW-AX,3.5479751709591953,2.145857950020924,6.797207348538741
gpt-5.4,high,WM,2.7708223732375505,1.451451296354767,6.362195757292216
gpt-5.4,high,WW,4.259220970707271,2.411461224334692,9.689451248148602
gpt-5.4,high,BM,3.0648038668466677,1.6823497124058673,10.450544718512042
gpt-5.4,high,BW,3.1262656660552177,2.041303846696727,5.599343920665748
gpt-5.4,high,WM-A,3.103460636875276,1.9066202299531885,7.528477974508717
gpt-5.4,high,WW-A,3.7682065007288084,2.0972211406730663,8.0095165723249
gpt-5.4,high,BM-A,5.272017829234494,3.0563320307406703,16.58562251395859
gpt-5.4,high,BW-A,3.8573249977384862,2.5813781988752367,6.530908684563895
gpt-5.4,high,WM-X,3.58936523870737,1.7171905206736713,16.227228654277997
gpt-5.4,high,WW-X,3.5801796051248074,2.118233156424546,7.4734684781611085
gpt-5.4,high,BM-X,2.9491854926110945,1.7456083231657817,7.9785924613343076
gpt-5.4,high,BW-X,3.0515052661808277,1.8126402543104436,5.587205875017411
gpt-5.4,high,WM-AX,2.879739719540154,1.4916430800481044,8.876602676623655
gpt-5.4,high,WW-AX,2.612432569734319,1.2519496223413724,7.517120003622469
gpt-5.4,high,BM-AX,3.4322673767722582,2.0922837837171904,7.907275734154777
gpt-5.4,high,BW-AX,3.0396975604560073,1.5095360794172734,10.195441159686302
DeepSeek-V4-Flash,none,WM,1.2761211136191408,0.9339143996436835,1.9582681019105481
DeepSeek-V4-Flash,none,WW,1.541297696174554,0.9663243973611243,2.7724316810739387
DeepSeek-V4-Flash,none,BM,1.154873830656553,0.6427674169490526,2.374415819231608
DeepSeek-V4-Flash,none,BW,1.129459237781223,0.7768378892975638,1.7935753452508356
DeepSeek-V4-Flash,none,WM-A,1.106511788683741,0.7162939463152567,1.6640694288616371
DeepSeek-V4-Flash,none,WW-A,1.2934384951271787,0.853250934900325,2.0402833420241504
DeepSeek-V4-Flash,none,BM-A,1.020267977654135,0.6071193399630023,1.5545282303544006
DeepSeek-V4-Flash,none,BW-A,0.918473501728376,0.5004846780097374,1.8578506991714565
DeepSeek-V4-Flash,none,WM-X,2.855114627549275,1.5350931966602386,8.641706919419327
DeepSeek-V4-Flash,none,WW-X,1.1450485484465274,0.54758561947141,2.3133861358728813
DeepSeek-V4-Flash,none,BM-X,1.4678486676045504,0.8734172670618353,2.7467148962685304
DeepSeek-V4-Flash,none,BW-X,1.4961060265305612,0.7324072760901711,3.2893485188740934
DeepSeek-V4-Flash,none,WM-AX,1.2967179751080156,0.7231519967352116,2.7499962489627494
DeepSeek-V4-Flash,none,WW-AX,1.5226654000500666,0.9825941065543322,2.6190241908228025
DeepSeek-V4-Flash,none,BM-AX,1.6570380704927636,0.9083336812573203,3.94333202171289
DeepSeek-V4-Flash,none,BW-AX,1.2928722754824709,0.7572403501564119,2.374575189291862
DeepSeek-V4-Flash,high,WM,1.424011169894305,0.8782960885964104,2.6867243663152465
DeepSeek-V4-Flash,high,WW,1.233541657351687,0.8644833484171857,1.947358008791641
DeepSeek-V4-Flash,high,BM,1.9461180066006631,1.1776407605484824,5.543615478878947
DeepSeek-V4-Flash,high,BW,2.4338770131399716,1.5575692673182238,4.762579913283949
DeepSeek-V4-Flash,high,WM-A,1.167515608313007,0.5882662160596993,2.7387246025969567
DeepSeek-V4-Flash,high,WW-A,1.9296534790873379,0.9856108257126109,7.968713431928797
DeepSeek-V4-Flash,high,BM-A,2.7446581234241787,1.7771698140949812,4.9331580039672085
DeepSeek-V4-Flash,high,BW-A,1.3725008265083891,0.7925047535109313,3.4821890941605025
DeepSeek-V4-Flash,high,WM-X,3.8028583849048485,2.7155904526608863,6.372705293987524
DeepSeek-V4-Flash,high,WW-X,2.276518112518883,1.1782948412893541,5.559575370078657
DeepSeek-V4-Flash,high,BM-X,4.165399493675365,2.520108674321923,6.483350591745908
DeepSeek-V4-Flash,high,BW-X,2.2292348638506434,1.0497682938545971,5.681430106299491
DeepSeek-V4-Flash,high,WM-AX,3.2410727079342005,2.0585817357742267,5.565019229675013
DeepSeek-V4-Flash,high,WW-AX,1.6113671916534822,0.789404557458858,5.825270038034856
DeepSeek-V4-Flash,high,BM-AX,4.564267952761642,3.1217185232174027,6.236198811171956
DeepSeek-V4-Flash,high,BW-AX,3.6409987360596494,2.3699429805853574,6.327823179199283
DeepSeek-V4-Flash,max,WM,1.3022540632993265,0.6638854874435995,3.494077014053151
DeepSeek-V4-Flash,max,WW,3.0390907069505215,1.6093805096157563,7.573713721332626
DeepSeek-V4-Flash,max,BM,1.3658044331024495,0.6555501484620598,4.577166974712521
DeepSeek-V4-Flash,max,BW,3.67350957875911,2.070294875121019,7.862237513832565
DeepSeek-V4-Flash,max,WM-A,1.7131298992435504,0.8640961562539786,4.193646772104
DeepSeek-V4-Flash,max,WW-A,2.2159103105779794,1.0739210609076664,5.9705016202637395
DeepSeek-V4-Flash,max,BM-A,2.021457539348382,0.8999973311396016,8.625686616498704
DeepSeek-V4-Flash,max,BW-A,2.9443833859405255,1.6968516448976867,7.131458952578767
DeepSeek-V4-Flash,max,WM-X,1.6903879491961071,0.7631237369278707,5.621217829485813
DeepSeek-V4-Flash,max,WW-X,1.3470623067860992,0.5991239928956826,5.455409943079131
DeepSeek-V4-Flash,max,BM-X,4.887507780288108,2.791718668256646,9.793799184556313
DeepSeek-V4-Flash,max,BW-X,5.003916342367915,2.6610253315457717,10.784059273230795
DeepSeek-V4-Flash,max,WM-AX,1.5725377092279988,0.7144942702047353,5.049735561228225
DeepSeek-V4-Flash,max,WW-AX,2.759578129891168,1.3183322177122947,7.487114108415101
DeepSeek-V4-Flash,max,BM-AX,2.2943835165560467,1.0722378525361245,9.149886680336548
DeepSeek-V4-Flash,max,BW-AX,2.8280929690555165,1.3646974849311184,7.357921330856407
DeepSeek-V4-Pro,none,WM,1.3377547559455731,0.7471423169907055,2.8152148693991554
DeepSeek-V4-Pro,none,WW,1.2880681243207297,0.7264418631481138,2.537181369901466
DeepSeek-V4-Pro,none,BM,1.138292010722754,0.6635369072153328,2.3034472224873452
DeepSeek-V4-Pro,none,BW,1.373324884006802,0.6949083189082498,2.6544340301524785
DeepSeek-V4-Pro,none,WM-A,1.4978378036001474,0.8820322267352664,2.8569673645517337
DeepSeek-V4-Pro,none,WW-A,1.2549596825214795,0.7064035725840149,2.2338356906270027
DeepSeek-V4-Pro,none,BM-A,2.7941681732317756,1.5545931807577271,5.912469232780142
DeepSeek-V4-Pro,none,BW-A,1.8332540368176649,1.0029734193723376,4.259038927084263
DeepSeek-V4-Pro,none,WM-X,0.7152014663009237,0.3375771961886424,1.4160650745871532
DeepSeek-V4-Pro,none,WW-X,1.922936528533113,1.0470202967809386,4.868078333089609
DeepSeek-V4-Pro,none,BM-X,1.3213764799512204,0.7461198763459738,2.4032031361299238
DeepSeek-V4-Pro,none,BW-X,1.9152058113981503,0.934872257349785,5.784038799646485
DeepSeek-V4-Pro,none,WM-AX,1.3851486537200626,0.8647371071972039,2.8661931969760475
DeepSeek-V4-Pro,none,WW-AX,1.327088368104949,0.7218267003733284,2.7505447986223657
DeepSeek-V4-Pro,none,BM-AX,3.119785737233091,1.7056580328802406,7.2824108708047905
DeepSeek-V4-Pro,none,BW-AX,1.4536415925371757,0.859270689713969,2.7563884668902783
DeepSeek-V4-Pro,high,WM,1.6164218524954912,0.7683321576715985,7.1052904535200625
DeepSeek-V4-Pro,high,WW,1.0955416490132261,0.5544367782870485,2.7373060388096717
DeepSeek-V4-Pro,high,BM,2.10098744503345,1.0996410932053768,11.335065603143146
DeepSeek-V4-Pro,high,BW,1.4071559310864254,0.6967209790371226,8.704772659096172
DeepSeek-V4-Pro,high,WM-A,1.1474143626994404,0.555571279047016,3.7966598118564283
DeepSeek-V4-Pro,high,WW-A,2.1267840271475977,1.0546672830954622,8.02874971116372
DeepSeek-V4-Pro,high,BM-A,1.6593441066663988,0.778360123706221,11.309408844080435
DeepSeek-V4-Pro,high,BW-A,1.282099350964786,0.7269292562868582,3.536069964771163
DeepSeek-V4-Pro,high,WM-X,1.9638639148749064,1.0020907194054745,8.961106514561951
DeepSeek-V4-Pro,high,WW-X,4.288918872721685,1.96435283573548,14.99215071336074
DeepSeek-V4-Pro,high,BM-X,3.4312443275499795,1.5665357580006256,17.61938721704104
DeepSeek-V4-Pro,high,BW-X,6.215299081476243,3.8719483041611693,12.222285900964248
DeepSeek-V4-Pro,high,WM-AX,1.3029817014248637,0.6608699372879597,2.9883317047435023
DeepSeek-V4-Pro,high,WW-AX,6.12822236214248,2.643190894347496,12.048199616468777
DeepSeek-V4-Pro,high,BM-AX,5.14612633848338,2.4700506955262385,14.35983254156648
DeepSeek-V4-Pro,high,BW-AX,4.349762358351096,2.138555088243811,18.356503498649037
DeepSeek-V4-Pro,max,WM,2.5495301172391795,1.4340655130181565,8.841176944732247
DeepSeek-V4-Pro,max,WW,2.947665826522775,1.3036161520228147,10.335039796897574
DeepSeek-V4-Pro,max,BM,1.918154363220646,1.008112405597663,5.965527337450616
DeepSeek-V4-Pro,max,BW,1.541482883255075,0.8179176407049163,4.1929707603585555
DeepSeek-V4-Pro,max,WM-A,7.311271498970535,4.31149319923682,13.269101769137944
DeepSeek-V4-Pro,max,WW-A,1.601892223847778,0.8091229178290852,5.0477208455373965
DeepSeek-V4-Pro,max,BM-A,8.347242097241011,5.293265857515858,13.231542168694366
DeepSeek-V4-Pro,max,BW-A,2.4641944738452586,1.1011711615351167,7.956645973569151
DeepSeek-V4-Pro,max,WM-X,6.603661244333363,3.6891932376065197,11.90896925383672
DeepSeek-V4-Pro,max,WW-X,4.449149424876053,2.4701564909734963,9.2018154324642
DeepSeek-V4-Pro,max,BM-X,4.3395661112878665,2.119107199032469,14.203640239207484
DeepSeek-V4-Pro,max,BW-X,1.7092753776628096,0.8586142044547033,6.454096964100822
DeepSeek-V4-Pro,max,WM-AX,5.762605227113363,3.0624590103415765,11.765471736562342
DeepSeek-V4-Pro,max,WW-AX,2.633090789663229,1.2448250053963212,10.17805737767376
DeepSeek-V4-Pro,max,BM-AX,5.458317762378154,3.2507397416806647,13.870609268074194
DeepSeek-V4-Pro,max,BW-AX,5.9652367665868455,3.0237894672068233,17.129843959205527
Claude-Fable-5,low,WM,3.8042192660308567,3.1359879786974867,4.76405290683751
Claude-Fable-5,low,WW,3.570007319342784,2.9503993227483183,4.727891707560405
Claude-Fable-5,low,BM,3.969547012986534,2.9943132860369905,4.633558500233774
Claude-Fable-5,low,BW,3.885572263650439,3.1090369571184686,4.657989036639253
Claude-Fable-5,low,WM-A,3.2585630727567496,2.4226644239539317,4.29017739750553
Claude-Fable-5,low,WW-A,4.152983445583445,3.0253908960864986,5.163709391029021
Claude-Fable-5,low,BM-A,3.924124928002868,2.81390260736494,5.126149807684108
Claude-Fable-5,low,BW-A,4.85826246609058,4.036680583823568,5.865309574184185
Claude-Fable-5,low,WM-X,4.401394821616,3.5200943798717237,5.091724437468383
Claude-Fable-5,low,WW-X,3.755842049489865,2.89358372001879,5.2227038021050864
Claude-Fable-5,low,BM-X,4.102319606636328,2.991104823044301,5.2388360188925285
Claude-Fable-5,low,BW-X,3.7442642823578636,2.951556922028318,4.868066701020711
Claude-Fable-5,low,WM-AX,4.367193048837394,3.153613909828605,5.323368766719366
Claude-Fable-5,low,WW-AX,4.853297522118592,4.024778243598467,5.886196253450314
Claude-Fable-5,low,BM-AX,4.448968564485106,3.8572521146665824,5.646966668774398
Claude-Fable-5,low,BW-AX,5.116486098713076,3.6160929521208285,6.800133299807713
Claude-Fable-5,medium,WM,3.192679104102584,2.36756603461214,4.378714860355032
Claude-Fable-5,medium,WW,3.8370773206406206,3.0696686307403565,5.192631886446799
Claude-Fable-5,medium,BM,4.444964959867665,3.5903092817004665,6.135933563858852
Claude-Fable-5,medium,BW,3.918333854249879,3.012604148898542,5.657746349046664
Claude-Fable-5,medium,WM-A,3.8846784387230158,3.1708595390971284,4.805019079060586
Claude-Fable-5,medium,WW-A,4.121698989394743,3.6766246592551766,5.09644912564494
Claude-Fable-5,medium,BM-A,3.6181325309911165,2.9176617034440175,4.28945327708704
Claude-Fable-5,medium,BW-A,3.8569780523277695,2.9939576222668958,5.489558353509345
Claude-Fable-5,medium,WM-X,3.7273335567639743,2.9664834641235087,5.474293147908672
Claude-Fable-5,medium,WW-X,4.183828270801948,3.3003661413257754,5.540490266874698
Claude-Fable-5,medium,BM-X,3.946467906906555,2.9835171794909523,5.937273091946234
Claude-Fable-5,medium,BW-X,4.728039960701811,3.563757173790432,6.2517107899690485
Claude-Fable-5,medium,WM-AX,4.19276175559644,3.6131642783980342,5.451839644127525
Claude-Fable-5,medium,WW-AX,3.8123720844000557,2.9873799142487365,5.3219928072900595
Claude-Fable-5,medium,BM-AX,3.8302028503596808,3.099802336708935,4.787755657363448
Claude-Fable-5,medium,BW-AX,4.319466097124657,3.295596299942389,5.666662238344283
Claude-Fable-5,high,WM,3.6826363613261215,2.9149302708720417,5.054386922435708
Claude-Fable-5,high,WW,3.8753230881489817,3.003923309493922,5.275242803042173
Claude-Fable-5,high,BM,3.638719566233699,2.6933121350820644,5.315103294804633
Claude-Fable-5,high,BW,4.282870439694156,3.0397251287581732,6.40625003696421
Claude-Fable-5,high,WM-A,4.051958704646332,3.1333406124206356,5.35356012642903
Claude-Fable-5,high,WW-A,4.716412222259976,3.5441590395186515,6.501312764749129
Claude-Fable-5,high,BM-A,4.419010145194168,3.955930229894831,5.563260072575872
Claude-Fable-5,high,BW-A,3.6953684713805135,2.849722210182059,5.030374046571352
Claude-Fable-5,high,WM-X,4.060787501751413,3.0716158050142632,5.820920548295482
Claude-Fable-5,high,WW-X,4.845663051498598,3.57343249918139,6.865134095067252
Claude-Fable-5,high,BM-X,4.656954598566541,3.6203002582323682,6.557394061049138
Claude-Fable-5,high,BW-X,4.679685684496377,3.287395682233788,7.502961213103979
Claude-Fable-5,high,WM-AX,4.542017556430429,3.4382166191884154,6.718913332078019
Claude-Fable-5,high,WW-AX,5.092131809833563,4.018067648894545,6.492906280230106
Claude-Fable-5,high,BM-AX,5.495362979199851,4.052400685296741,8.043270494234521
Claude-Fable-5,high,BW-AX,4.7494938436237115,3.7234128210605695,6.682562667699279
Claude-Sonnet-5,low,WM,3.0069211527024233,1.9860312483700384,5.460738294266061
Claude-Sonnet-5,low,WW,3.060252195823671,2.1449268493947944,5.588029721345666
Claude-Sonnet-5,low,BM,2.431037981311387,1.527062002009144,4.227683838844661
Claude-Sonnet-5,low,BW,3.417223190222398,2.367414560101037,5.666665298907152
Claude-Sonnet-5,low,WM-A,6.716840119842107,5.6315592630530436,8.958259194057415
Claude-Sonnet-5,low,WW-A,4.505008617410859,2.87861347834168,6.7504245704295425
Claude-Sonnet-5,low,BM-A,3.4062429167431985,2.320044128886089,6.023577766223587
Claude-Sonnet-5,low,BW-A,4.2881874622982386,3.055497263468341,6.30324550383651
Claude-Sonnet-5,low,WM-X,5.642519329625231,5.4306355872840975,5.812371444260579
Claude-Sonnet-5,low,WW-X,5.233421713231157,3.8449344334074076,7.747441500800206
Claude-Sonnet-5,low,BM-X,4.179534547072931,3.0629417708470075,5.6063655109162465
Claude-Sonnet-5,low,BW-X,4.541067115152042,3.423342423557022,5.706557453798707
Claude-Sonnet-5,low,WM-AX,5.688671536646848,4.738134741358329,6.731643200009216
Claude-Sonnet-5,low,WW-AX,7.09372493603143,5.720325989272935,8.856284681646041
Claude-Sonnet-5,low,BM-AX,4.836083244155957,3.7553241683362595,6.029113520348241
Claude-Sonnet-5,low,BW-AX,5.389134750725539,4.040958476403658,7.949501033076337
Claude-Sonnet-5,medium,WM,2.8927699282312265,1.9754003557218156,4.81448467215004
Claude-Sonnet-5,medium,WW,4.871685664745682,3.458406684462711,6.680097574493042
Claude-Sonnet-5,medium,BM,3.2624279688105697,2.3594516948565265,4.694393816492445
Claude-Sonnet-5,medium,BW,4.771194722468337,2.857064050421955,7.793452830397106
Claude-Sonnet-5,medium,WM-A,2.613532128990813,1.4190773650039181,5.704042645661271
Claude-Sonnet-5,medium,WW-A,3.389330185497016,2.527508746631618,5.18546340866749
Claude-Sonnet-5,medium,BM-A,5.944921135832093,4.587450210414737,7.416974660342356
Claude-Sonnet-5,medium,BW-A,4.738230753223584,3.049509757584066,7.675343573178318
Claude-Sonnet-5,medium,WM-X,5.458867617266686,4.487284937557767,7.361678414084795
Claude-Sonnet-5,medium,WW-X,3.6152131533033214,1.9019312752049187,7.436574397906385
Claude-Sonnet-5,medium,BM-X,5.84487999978566,5.623595932076879,7.086328533780143
Claude-Sonnet-5,medium,BW-X,4.816694338761396,3.659630228607186,6.827191683201364
Claude-Sonnet-5,medium,WM-AX,4.734400221213674,3.081379974918617,7.237735641812118
Claude-Sonnet-5,medium,WW-AX,5.784564768884755,4.142173482856249,7.112949386328233
Claude-Sonnet-5,medium,BM-AX,6.249783731732674,3.8782915512909897,9.301380075433133
Claude-Sonnet-5,medium,BW-AX,4.075325553357512,2.477808315017436,6.416526097623115
Claude-Sonnet-5,high,WM,2.643502581857588,1.555879997467571,5.559981095183185
Claude-Sonnet-5,high,WW,2.136784575659864,1.295943587359304,3.7723648185205922
Claude-Sonnet-5,high,BM,2.3227181748655013,1.404249634130372,4.071082175006856
Claude-Sonnet-5,high,BW,3.0709535216948067,2.00026834531239,6.6862514133891775
Claude-Sonnet-5,high,WM-A,4.405189929195623,3.184218811514408,6.347984330012749
Claude-Sonnet-5,high,WW-A,5.780353503061883,3.77082032143119,8.680686498991495
Claude-Sonnet-5,high,BM-A,5.025472312818052,4.108592476357206,6.477892667029557
Claude-Sonnet-5,high,BW-A,5.797354467229764,4.299892717483515,7.638613744671377
Claude-Sonnet-5,high,WM-X,4.939698725780922,3.6329004489170713,6.781712977662378
Claude-Sonnet-5,high,WW-X,3.122181602499913,1.5666496572416477,8.683965923142484
Claude-Sonnet-5,high,BM-X,3.1421111059988287,1.6627802304997967,6.133370015152276
Claude-Sonnet-5,high,BW-X,5.240593814418821,3.7096234335261724,8.058420417042791
Claude-Sonnet-5,high,WM-AX,5.526363665116327,4.28890719289966,7.253325830616471
Claude-Sonnet-5,high,WW-AX,3.7341859120552465,2.0604596325564137,7.210816444982732
Claude-Sonnet-5,high,BM-AX,3.934537163922955,2.1038536163848867,6.959397986776117
Claude-Sonnet-5,high,BW-AX,3.9165065290227505,2.037317109408753,7.412711217169491
