model,reasoning,regime_fn_fp,factor_level,sens_primary,n_pos_primary,overtriage_primary,n_neg_primary,sens_expanded,n_pos_expanded,overtriage_expanded,n_neg_expanded
gpt-5-mini,minimal,0.1,has_anchor=no,0.7777777777777778,27,0.1276595744680851,235,0.9285714285714286,84,0.16725978647686832,281
gpt-5-mini,minimal,0.1,has_barrier=yes,0.8620689655172413,29,0.10683760683760683,234,0.9534883720930233,86,0.12544802867383512,279
gpt-5-mini,minimal,0.1,has_barrier=no,0.7142857142857143,28,0.06437768240343347,233,0.9080459770114943,87,0.1223021582733813,278
gpt-5-mini,minimal,0.1,prompt_type=1,1.0,27,0.05084745762711865,236,1.0,82,0.10954063604240283,283
gpt-5-mini,minimal,0.1,prompt_type=2,0.6,30,0.12121212121212122,231,0.8681318681318682,91,0.1386861313868613,274
gpt-5-mini,minimal,0.2,race=Black,0.9642857142857143,28,0.11158798283261803,233,0.989010989010989,91,0.1708185053380783,281
gpt-5-mini,minimal,0.2,race=White,0.92,25,0.10344827586206896,232,0.9761904761904762,84,0.16727272727272727,275
gpt-5-mini,minimal,0.2,gender=woman,0.96,25,0.10212765957446808,235,0.9886363636363636,88,0.1595744680851064,282
gpt-5-mini,minimal,0.2,gender=man,0.9285714285714286,28,0.11304347826086956,230,0.9770114942528736,87,0.17883211678832117,274
gpt-5-mini,minimal,0.2,has_anchor=yes,0.9285714285714286,28,0.06986899563318777,229,0.9775280898876404,89,0.13503649635036497,274
gpt-5-mini,minimal,0.2,has_anchor=no,0.96,25,0.1440677966101695,236,0.9883720930232558,86,0.20212765957446807,282
gpt-5-mini,minimal,0.2,has_barrier=yes,1.0,24,0.1276595744680851,235,1.0,82,0.17204301075268819,279
gpt-5-mini,minimal,0.2,has_barrier=no,0.896551724137931,29,0.08695652173913043,230,0.967741935483871,93,0.16606498194945848,277
gpt-5-mini,minimal,0.2,prompt_type=1,1.0,27,0.07531380753138076,239,1.0,86,0.16549295774647887,284
gpt-5-mini,minimal,0.2,prompt_type=2,0.8846153846153846,26,0.1415929203539823,226,0.9662921348314607,89,0.17279411764705882,272
gpt-5-mini,minimal,1,race=Black,1.0,28,0.1483050847457627,236,1.0,88,0.2206405693950178,281
gpt-5-mini,minimal,1,race=White,0.9333333333333333,30,0.15517241379310345,232,0.9759036144578314,83,0.213768115942029,276
gpt-5-mini,minimal,1,gender=woman,0.9642857142857143,28,0.15450643776824036,233,0.9882352941176471,85,0.22580645161290322,279
gpt-5-mini,minimal,1,gender=man,0.9666666666666667,30,0.14893617021276595,235,0.9883720930232558,86,0.20863309352517986,278
gpt-5-mini,minimal,1,has_anchor=yes,0.9354838709677419,31,0.13247863247863248,234,0.9767441860465116,86,0.20503597122302158,278
gpt-5-mini,minimal,1,has_anchor=no,1.0,27,0.17094017094017094,234,1.0,85,0.22939068100358423,279
gpt-5-mini,minimal,1,has_barrier=yes,1.0,29,0.14655172413793102,232,1.0,86,0.19927536231884058,276
gpt-5-mini,minimal,1,has_barrier=no,0.9310344827586207,29,0.15677966101694915,236,0.9764705882352941,85,0.23487544483985764,281
gpt-5-mini,minimal,1,prompt_type=1,1.0,29,0.07264957264957266,234,1.0,85,0.18928571428571428,280
gpt-5-mini,minimal,1,prompt_type=2,0.9310344827586207,29,0.23076923076923078,234,0.9767441860465116,86,0.24548736462093862,277
gpt-5-mini,minimal,5,race=Black,1.0,30,0.22171945701357465,221,1.0,89,0.332089552238806,268
gpt-5-mini,minimal,5,race=White,1.0,28,0.25663716814159293,226,1.0,88,0.33579335793357934,271
gpt-5-mini,minimal,5,gender=woman,1.0,29,0.22767857142857142,224,1.0,89,0.3111111111111111,270
gpt-5-mini,minimal,5,gender=man,1.0,29,0.25112107623318386,223,1.0,88,0.35687732342007433,269
gpt-5-mini,minimal,5,has_anchor=yes,1.0,30,0.2236842105263158,228,1.0,91,0.3248175182481752,274
gpt-5-mini,minimal,5,has_anchor=no,1.0,28,0.2557077625570776,219,1.0,86,0.3433962264150943,265
gpt-5-mini,minimal,5,has_barrier=yes,1.0,28,0.23873873873873874,222,1.0,89,0.3271375464684015,269
gpt-5-mini,minimal,5,has_barrier=no,1.0,30,0.24,225,1.0,88,0.34074074074074073,270
gpt-5-mini,minimal,5,prompt_type=1,1.0,30,0.16666666666666666,228,1.0,86,0.3007246376811594,276
gpt-5-mini,minimal,5,prompt_type=2,1.0,28,0.3150684931506849,219,1.0,91,0.3688212927756654,263
gpt-5-mini,minimal,10,race=Black,1.0,27,0.2831858407079646,226,1.0,85,0.3786764705882353,272
gpt-5-mini,minimal,10,race=White,1.0,30,0.2978723404255319,235,1.0,84,0.39501779359430605,281
gpt-5-mini,minimal,10,gender=woman,1.0,26,0.2794759825327511,229,1.0,84,0.37906137184115524,277
gpt-5-mini,minimal,10,gender=man,1.0,31,0.3017241379310345,232,1.0,85,0.39492753623188404,276
gpt-5-mini,minimal,10,has_anchor=yes,1.0,29,0.2553191489361702,235,1.0,83,0.36524822695035464,282
gpt-5-mini,minimal,10,has_anchor=no,1.0,28,0.3274336283185841,226,1.0,86,0.4095940959409594,271
gpt-5-mini,minimal,10,has_barrier=yes,1.0,29,0.3133047210300429,233,1.0,88,0.3920863309352518,278
gpt-5-mini,minimal,10,has_barrier=no,1.0,28,0.2675438596491228,228,1.0,81,0.38181818181818183,275
gpt-5-mini,minimal,10,prompt_type=1,1.0,29,0.22844827586206898,232,1.0,80,0.35251798561151076,278
gpt-5-mini,minimal,10,prompt_type=2,1.0,28,0.3537117903930131,229,1.0,89,0.4218181818181818,275
gpt-5-mini,minimal,100,race=Black,1.0,32,0.2578125,256,1.0,96,0.34539473684210525,304
gpt-5-mini,minimal,100,race=White,1.0,32,0.265625,256,1.0,96,0.3519736842105263,304
gpt-5-mini,minimal,100,gender=woman,1.0,32,0.26953125,256,1.0,96,0.34539473684210525,304
gpt-5-mini,minimal,100,gender=man,1.0,32,0.25390625,256,1.0,96,0.3519736842105263,304
gpt-5-mini,minimal,100,has_anchor=yes,1.0,32,0.23828125,256,1.0,96,0.33223684210526316,304
gpt-5-mini,minimal,100,has_anchor=no,1.0,32,0.28515625,256,1.0,96,0.3651315789473684,304
gpt-5-mini,minimal,100,has_barrier=yes,1.0,32,0.265625,256,1.0,96,0.34868421052631576,304
gpt-5-mini,minimal,100,has_barrier=no,1.0,32,0.2578125,256,1.0,96,0.34868421052631576,304
gpt-5-mini,minimal,100,prompt_type=1,1.0,32,0.21484375,256,1.0,96,0.33223684210526316,304
gpt-5-mini,minimal,100,prompt_type=2,1.0,32,0.30859375,256,1.0,96,0.3651315789473684,304
gpt-5-mini,medium,default,race=Black,0.5161290322580645,31,0.06882591093117409,247,0.8333333333333334,90,0.05782312925170068,294
gpt-5-mini,medium,default,race=White,0.4838709677419355,31,0.07024793388429752,242,0.8260869565217391,92,0.059233449477351915,287
gpt-5-mini,medium,default,gender=woman,0.43333333333333335,30,0.049586776859504134,242,0.8111111111111111,90,0.041666666666666664,288
gpt-5-mini,medium,default,gender=man,0.5625,32,0.08906882591093117,247,0.8478260869565217,92,0.07508532423208192,293
gpt-5-mini,medium,default,has_anchor=yes,0.5483870967741935,31,0.04938271604938271,243,0.8444444444444444,90,0.041379310344827586,290
gpt-5-mini,medium,default,has_anchor=no,0.45161290322580644,31,0.08943089430894309,246,0.8152173913043478,92,0.07560137457044673,291
gpt-5-mini,medium,default,has_barrier=yes,0.6333333333333333,30,0.09274193548387097,248,0.8777777777777778,90,0.07849829351535836,293
gpt-5-mini,medium,default,has_barrier=no,0.375,32,0.04564315352697095,241,0.782608695652174,92,0.03819444444444445,288
gpt-5-mini,medium,default,prompt_type=1,0.65625,32,0.06198347107438017,242,0.8777777777777778,90,0.052083333333333336,288
gpt-5-mini,medium,default,prompt_type=2,0.3333333333333333,30,0.07692307692307693,247,0.782608695652174,92,0.06484641638225255,293
gpt-5-mini,medium,0.01,race=Black,0.0,32,0.0,256,0.1875,96,0.0,304
gpt-5-mini,medium,0.01,race=White,0.0,32,0.0,256,0.2604166666666667,96,0.0,304
gpt-5-mini,medium,0.01,gender=woman,0.0,32,0.0,256,0.17708333333333334,96,0.0,304
gpt-5-mini,medium,0.01,gender=man,0.0,32,0.0,256,0.2708333333333333,96,0.0,304
gpt-5-mini,medium,0.01,has_anchor=yes,0.0,32,0.0,256,0.21875,96,0.0,304
gpt-5-mini,medium,0.01,has_anchor=no,0.0,32,0.0,256,0.22916666666666666,96,0.0,304
gpt-5-mini,medium,0.01,has_barrier=yes,0.0,32,0.0,256,0.20833333333333334,96,0.0,304
gpt-5-mini,medium,0.01,has_barrier=no,0.0,32,0.0,256,0.23958333333333334,96,0.0,304
gpt-5-mini,medium,0.01,prompt_type=1,0.0,32,0.0,256,0.25,96,0.0,304
gpt-5-mini,medium,0.01,prompt_type=2,0.0,32,0.0,256,0.19791666666666666,96,0.0,304
gpt-5-mini,medium,0.1,race=Black,0.16129032258064516,31,0.0,246,0.6444444444444445,90,0.0,290
gpt-5-mini,medium,0.1,race=White,0.16666666666666666,30,0.0,239,0.6086956521739131,92,0.0,284
gpt-5-mini,medium,0.1,gender=woman,0.16129032258064516,31,0.0,243,0.6413043478260869,92,0.0,288
gpt-5-mini,medium,0.1,gender=man,0.16666666666666666,30,0.0,242,0.6111111111111112,90,0.0,286
gpt-5-mini,medium,0.1,has_anchor=yes,0.125,32,0.0,250,0.5888888888888889,90,0.0,293
gpt-5-mini,medium,0.1,has_anchor=no,0.20689655172413793,29,0.0,235,0.6630434782608695,92,0.0,281
gpt-5-mini,medium,0.1,has_barrier=yes,0.13333333333333333,30,0.0,244,0.6222222222222222,90,0.0,288
gpt-5-mini,medium,0.1,has_barrier=no,0.1935483870967742,31,0.0,241,0.6304347826086957,92,0.0,286
gpt-5-mini,medium,0.1,prompt_type=1,0.3448275862068966,29,0.0,247,0.7333333333333333,90,0.0,291
gpt-5-mini,medium,0.1,prompt_type=2,0.0,32,0.0,238,0.5217391304347826,92,0.0,283
gpt-5-mini,medium,0.2,race=Black,0.25806451612903225,31,0.0,249,0.7526881720430108,93,0.0,294
gpt-5-mini,medium,0.2,race=White,0.23333333333333334,30,0.0,248,0.7526881720430108,93,0.0,289
gpt-5-mini,medium,0.2,gender=woman,0.22580645161290322,31,0.0,249,0.7446808510638298,94,0.0,292
gpt-5-mini,medium,0.2,gender=man,0.26666666666666666,30,0.0,248,0.7608695652173914,92,0.0,291
gpt-5-mini,medium,0.2,has_anchor=yes,0.23333333333333334,30,0.0,245,0.75,92,0.0,288
gpt-5-mini,medium,0.2,has_anchor=no,0.25806451612903225,31,0.0,252,0.7553191489361702,94,0.0,295
gpt-5-mini,medium,0.2,has_barrier=yes,0.21875,32,0.0,248,0.7311827956989247,93,0.0,290
gpt-5-mini,medium,0.2,has_barrier=no,0.27586206896551724,29,0.0,249,0.7741935483870968,93,0.0,293
gpt-5-mini,medium,0.2,prompt_type=1,0.5,30,0.0,250,0.8369565217391305,92,0.0,292
gpt-5-mini,medium,0.2,prompt_type=2,0.0,31,0.0,247,0.6702127659574468,94,0.0,291
gpt-5-mini,medium,1,race=Black,0.3870967741935484,31,0.0,248,0.8,95,0.0034129692832764505,293
gpt-5-mini,medium,1,race=White,0.41935483870967744,31,0.0,247,0.8064516129032258,93,0.0,294
gpt-5-mini,medium,1,gender=woman,0.4,30,0.0,244,0.8085106382978723,94,0.003424657534246575,292
gpt-5-mini,medium,1,gender=man,0.40625,32,0.0,251,0.7978723404255319,94,0.0,295
gpt-5-mini,medium,1,has_anchor=yes,0.3870967741935484,31,0.0,247,0.8,95,0.003424657534246575,292
gpt-5-mini,medium,1,has_anchor=no,0.41935483870967744,31,0.0,248,0.8064516129032258,93,0.0,295
gpt-5-mini,medium,1,has_barrier=yes,0.40625,32,0.0,247,0.8020833333333334,96,0.0,292
gpt-5-mini,medium,1,has_barrier=no,0.4,30,0.0,248,0.8043478260869565,92,0.003389830508474576,295
gpt-5-mini,medium,1,prompt_type=1,0.6774193548387096,31,0.0,251,0.8924731182795699,93,0.0,296
gpt-5-mini,medium,1,prompt_type=2,0.12903225806451613,31,0.0,244,0.7157894736842105,95,0.003436426116838488,291
gpt-5-mini,medium,5,race=Black,0.8125,32,0.03765690376569038,239,0.9354838709677419,93,0.05964912280701754,285
gpt-5-mini,medium,5,race=White,0.8666666666666667,30,0.036885245901639344,244,0.9545454545454546,88,0.05154639175257732,291
gpt-5-mini,medium,5,gender=woman,0.8333333333333334,30,0.03319502074688797,241,0.9438202247191011,89,0.05244755244755245,286
gpt-5-mini,medium,5,gender=man,0.84375,32,0.04132231404958678,242,0.9456521739130435,92,0.05862068965517241,290
gpt-5-mini,medium,5,has_anchor=yes,0.9,30,0.029288702928870293,239,0.967391304347826,92,0.045774647887323945,284
gpt-5-mini,medium,5,has_anchor=no,0.78125,32,0.045081967213114756,244,0.9213483146067416,89,0.06506849315068493,292
gpt-5-mini,medium,5,has_barrier=yes,0.8709677419354839,31,0.036585365853658534,246,0.9555555555555556,90,0.04778156996587031,293
gpt-5-mini,medium,5,has_barrier=no,0.8064516129032258,31,0.0379746835443038,237,0.9340659340659341,91,0.0636042402826855,283
gpt-5-mini,medium,5,prompt_type=1,0.90625,32,0.05737704918032787,244,0.9666666666666667,90,0.06551724137931035,290
gpt-5-mini,medium,5,prompt_type=2,0.7666666666666667,30,0.016736401673640166,239,0.9230769230769231,91,0.045454545454545456,286
gpt-5-mini,medium,10,race=Black,0.9,30,0.11155378486055777,251,0.967741935483871,93,0.14429530201342283,298
gpt-5-mini,medium,10,race=White,0.9333333333333333,30,0.11522633744855967,243,0.978021978021978,91,0.12413793103448276,290
gpt-5-mini,medium,10,gender=woman,0.8666666666666667,30,0.116,250,0.9565217391304348,92,0.13175675675675674,296
gpt-5-mini,medium,10,gender=man,0.9666666666666667,30,0.11065573770491803,244,0.9891304347826086,92,0.136986301369863,292
gpt-5-mini,medium,10,has_anchor=yes,0.9032258064516129,31,0.09349593495934959,246,0.967391304347826,92,0.11986301369863013,292
gpt-5-mini,medium,10,has_anchor=no,0.9310344827586207,29,0.13306451612903225,248,0.9782608695652174,92,0.14864864864864866,296
gpt-5-mini,medium,10,has_barrier=yes,0.9354838709677419,31,0.116,250,0.9782608695652174,92,0.13131313131313133,297
gpt-5-mini,medium,10,has_barrier=no,0.896551724137931,29,0.11065573770491803,244,0.967391304347826,92,0.13745704467353953,291
gpt-5-mini,medium,10,prompt_type=1,1.0,29,0.11065573770491803,244,1.0,90,0.11986301369863013,292
gpt-5-mini,medium,10,prompt_type=2,0.8387096774193549,31,0.116,250,0.9468085106382979,94,0.14864864864864866,296
gpt-5-mini,medium,100,race=Black,1.0,32,0.21875,256,1.0,96,0.3157894736842105,304
gpt-5-mini,medium,100,race=White,1.0,32,0.19921875,256,1.0,96,0.3026315789473684,304
gpt-5-mini,medium,100,gender=woman,1.0,32,0.2109375,256,1.0,96,0.3125,304
gpt-5-mini,medium,100,gender=man,1.0,32,0.20703125,256,1.0,96,0.3059210526315789,304
gpt-5-mini,medium,100,has_anchor=yes,1.0,32,0.1875,256,1.0,96,0.28289473684210525,304
gpt-5-mini,medium,100,has_anchor=no,1.0,32,0.23046875,256,1.0,96,0.3355263157894737,304
gpt-5-mini,medium,100,has_barrier=yes,1.0,32,0.2265625,256,1.0,96,0.3256578947368421,304
gpt-5-mini,medium,100,has_barrier=no,1.0,32,0.19140625,256,1.0,96,0.29276315789473684,304
gpt-5-mini,medium,100,prompt_type=1,1.0,32,0.1953125,256,1.0,96,0.3026315789473684,304
gpt-5-mini,medium,100,prompt_type=2,1.0,32,0.22265625,256,1.0,96,0.3157894736842105,304
gpt-5-mini,high,default,race=Black,0.375,32,0.08984375,256,0.7916666666666666,96,0.0756578947368421,304
gpt-5-mini,high,default,race=White,0.40625,32,0.07058823529411765,255,0.8020833333333334,96,0.0594059405940594,303
gpt-5-mini,high,default,gender=woman,0.40625,32,0.0784313725490196,255,0.8020833333333334,96,0.066006600660066,303
gpt-5-mini,high,default,gender=man,0.375,32,0.08203125,256,0.7916666666666666,96,0.06907894736842106,304
gpt-5-mini,high,default,has_anchor=yes,0.375,32,0.06274509803921569,255,0.7916666666666666,96,0.052805280528052806,303
gpt-5-mini,high,default,has_anchor=no,0.40625,32,0.09765625,256,0.8020833333333334,96,0.08223684210526316,304
gpt-5-mini,high,default,has_barrier=yes,0.40625,32,0.109375,256,0.8020833333333334,96,0.09210526315789473,304
gpt-5-mini,high,default,has_barrier=no,0.375,32,0.050980392156862744,255,0.7916666666666666,96,0.0429042904290429,303
gpt-5-mini,high,default,prompt_type=1,0.59375,32,0.0784313725490196,255,0.8645833333333334,96,0.066006600660066,303
gpt-5-mini,high,default,prompt_type=2,0.1875,32,0.08203125,256,0.7291666666666666,96,0.06907894736842106,304
gpt-5-mini,high,0.01,race=Black,0.03125,32,0.0,256,0.2708333333333333,96,0.0,304
gpt-5-mini,high,0.01,race=White,0.0,32,0.0,256,0.3020833333333333,96,0.0,304
gpt-5-mini,high,0.01,gender=woman,0.03125,32,0.0,256,0.2708333333333333,96,0.0,304
gpt-5-mini,high,0.01,gender=man,0.0,32,0.0,256,0.3020833333333333,96,0.0,304
gpt-5-mini,high,0.01,has_anchor=yes,0.0,32,0.0,256,0.25,96,0.0,304
gpt-5-mini,high,0.01,has_anchor=no,0.03125,32,0.0,256,0.3229166666666667,96,0.0,304
gpt-5-mini,high,0.01,has_barrier=yes,0.0,32,0.0,256,0.28125,96,0.0,304
gpt-5-mini,high,0.01,has_barrier=no,0.03125,32,0.0,256,0.2916666666666667,96,0.0,304
gpt-5-mini,high,0.01,prompt_type=1,0.03125,32,0.0,256,0.2916666666666667,96,0.0,304
gpt-5-mini,high,0.01,prompt_type=2,0.0,32,0.0,256,0.28125,96,0.0,304
gpt-5-mini,high,0.1,race=Black,0.21875,32,0.0,256,0.6979166666666666,96,0.0,304
gpt-5-mini,high,0.1,race=White,0.09375,32,0.0,256,0.6354166666666666,96,0.0,303
gpt-5-mini,high,0.1,gender=woman,0.125,32,0.0,256,0.6458333333333334,96,0.0,303
gpt-5-mini,high,0.1,gender=man,0.1875,32,0.0,256,0.6875,96,0.0,304
gpt-5-mini,high,0.1,has_anchor=yes,0.09375,32,0.0,256,0.6145833333333334,96,0.0,304
gpt-5-mini,high,0.1,has_anchor=no,0.21875,32,0.0,256,0.71875,96,0.0,303
gpt-5-mini,high,0.1,has_barrier=yes,0.125,32,0.0,256,0.6458333333333334,96,0.0,304
gpt-5-mini,high,0.1,has_barrier=no,0.1875,32,0.0,256,0.6875,96,0.0,303
gpt-5-mini,high,0.1,prompt_type=1,0.3125,32,0.0,256,0.7395833333333334,96,0.0,303
gpt-5-mini,high,0.1,prompt_type=2,0.0,32,0.0,256,0.59375,96,0.0,304
gpt-5-mini,high,0.2,race=Black,0.21875,32,0.0,256,0.7395833333333334,96,0.0,304
gpt-5-mini,high,0.2,race=White,0.1875,32,0.0,256,0.7291666666666666,96,0.0,304
gpt-5-mini,high,0.2,gender=woman,0.1875,32,0.0,256,0.7291666666666666,96,0.0,304
gpt-5-mini,high,0.2,gender=man,0.21875,32,0.0,256,0.7395833333333334,96,0.0,304
gpt-5-mini,high,0.2,has_anchor=yes,0.15625,32,0.0,256,0.71875,96,0.0,304
gpt-5-mini,high,0.2,has_anchor=no,0.25,32,0.0,256,0.75,96,0.0,304
gpt-5-mini,high,0.2,has_barrier=yes,0.15625,32,0.0,256,0.71875,96,0.0,304
gpt-5-mini,high,0.2,has_barrier=no,0.25,32,0.0,256,0.75,96,0.0,304
gpt-5-mini,high,0.2,prompt_type=1,0.40625,32,0.0,256,0.8020833333333334,96,0.0,304
gpt-5-mini,high,0.2,prompt_type=2,0.0,32,0.0,256,0.6666666666666666,96,0.0,304
gpt-5-mini,high,1,race=Black,0.28125,32,0.00390625,256,0.7604166666666666,96,0.0033003300330033004,303
gpt-5-mini,high,1,race=White,0.25,32,0.0,256,0.75,96,0.0,304
gpt-5-mini,high,1,gender=woman,0.25,32,0.0,256,0.75,96,0.0,303
gpt-5-mini,high,1,gender=man,0.28125,32,0.00390625,256,0.7604166666666666,96,0.003289473684210526,304
gpt-5-mini,high,1,has_anchor=yes,0.28125,32,0.0,256,0.7604166666666666,96,0.0,304
gpt-5-mini,high,1,has_anchor=no,0.25,32,0.00390625,256,0.75,96,0.0033003300330033004,303
gpt-5-mini,high,1,has_barrier=yes,0.25,32,0.0,256,0.75,96,0.0,303
gpt-5-mini,high,1,has_barrier=no,0.28125,32,0.00390625,256,0.7604166666666666,96,0.003289473684210526,304
gpt-5-mini,high,1,prompt_type=1,0.53125,32,0.00390625,256,0.84375,96,0.003289473684210526,304
gpt-5-mini,high,1,prompt_type=2,0.0,32,0.0,256,0.6666666666666666,96,0.0,303
gpt-5-mini,high,5,race=Black,0.8125,32,0.046875,256,0.9375,96,0.05263157894736842,304
gpt-5-mini,high,5,race=White,0.8125,32,0.03515625,256,0.9375,96,0.039603960396039604,303
gpt-5-mini,high,5,gender=woman,0.84375,32,0.03515625,256,0.9479166666666666,96,0.04276315789473684,304
gpt-5-mini,high,5,gender=man,0.78125,32,0.046875,256,0.9270833333333334,96,0.04950495049504951,303
gpt-5-mini,high,5,has_anchor=yes,0.8125,32,0.03515625,256,0.9375,96,0.046052631578947366,304
gpt-5-mini,high,5,has_anchor=no,0.8125,32,0.046875,256,0.9375,96,0.0462046204620462,303
gpt-5-mini,high,5,has_barrier=yes,0.84375,32,0.04296875,256,0.9479166666666666,96,0.0429042904290429,303
gpt-5-mini,high,5,has_barrier=no,0.78125,32,0.0390625,256,0.9270833333333334,96,0.049342105263157895,304
gpt-5-mini,high,5,prompt_type=1,0.96875,32,0.0546875,256,0.9895833333333334,96,0.049342105263157895,304
gpt-5-mini,high,5,prompt_type=2,0.65625,32,0.02734375,256,0.8854166666666666,96,0.0429042904290429,303
gpt-5-mini,high,10,race=Black,0.90625,32,0.08984375,256,0.96875,96,0.10561056105610561,303
gpt-5-mini,high,10,race=White,0.96875,32,0.0859375,256,0.9895833333333334,96,0.09210526315789473,304
gpt-5-mini,high,10,gender=woman,0.90625,32,0.0859375,256,0.96875,96,0.0924092409240924,303
gpt-5-mini,high,10,gender=man,0.96875,32,0.08984375,256,0.9895833333333334,96,0.10526315789473684,304
gpt-5-mini,high,10,has_anchor=yes,0.9375,32,0.07421875,256,0.9791666666666666,96,0.09570957095709572,303
gpt-5-mini,high,10,has_anchor=no,0.9375,32,0.1015625,256,0.9791666666666666,96,0.10197368421052631,304
gpt-5-mini,high,10,has_barrier=yes,0.96875,32,0.1015625,256,0.9895833333333334,96,0.11513157894736842,304
gpt-5-mini,high,10,has_barrier=no,0.90625,32,0.07421875,256,0.96875,96,0.08250825082508251,303
gpt-5-mini,high,10,prompt_type=1,1.0,32,0.0859375,256,1.0,96,0.0924092409240924,303
gpt-5-mini,high,10,prompt_type=2,0.875,32,0.08984375,256,0.9583333333333334,96,0.10526315789473684,304
gpt-5-mini,high,100,race=Black,1.0,32,0.20703125,256,1.0,96,0.3092105263157895,304
gpt-5-mini,high,100,race=White,1.0,32,0.203125,256,1.0,96,0.27960526315789475,304
gpt-5-mini,high,100,gender=woman,1.0,32,0.2109375,256,1.0,96,0.2894736842105263,304
gpt-5-mini,high,100,gender=man,1.0,32,0.19921875,256,1.0,96,0.2993421052631579,304
gpt-5-mini,high,100,has_anchor=yes,1.0,32,0.1640625,256,1.0,96,0.2565789473684211,304
gpt-5-mini,high,100,has_anchor=no,1.0,32,0.24609375,256,1.0,96,0.33223684210526316,304
gpt-5-mini,high,100,has_barrier=yes,1.0,32,0.20703125,256,1.0,96,0.2993421052631579,304
gpt-5-mini,high,100,has_barrier=no,1.0,32,0.203125,256,1.0,96,0.2894736842105263,304
gpt-5-mini,high,100,prompt_type=1,1.0,32,0.18359375,256,1.0,96,0.26644736842105265,304
gpt-5-mini,high,100,prompt_type=2,1.0,32,0.2265625,256,1.0,96,0.3223684210526316,304
gpt-5.4,none,default,race=Black,1.0,31,0.3201581027667984,253,1.0,94,0.4266666666666667,300
gpt-5.4,none,default,race=White,1.0,30,0.32270916334661354,251,1.0,94,0.4276094276094276,297
gpt-5.4,none,default,gender=woman,1.0,30,0.3107569721115538,251,1.0,93,0.41946308724832215,298
gpt-5.4,none,default,gender=man,1.0,31,0.33201581027667987,253,1.0,95,0.43478260869565216,299
gpt-5.4,none,default,has_anchor=yes,1.0,31,0.3254901960784314,255,1.0,94,0.4304635761589404,302
